Command,Path,IsOptional,Type,Package,Category,Name,Aliases,Description,Licence
gunzip,,1,busybox,,arc,,,"Decompresses given gzip archives, or gzip-compressed standard input to standard output. By default, it will replace the input files unless told otherwise.",GNU GPLv2
gzip,,1,busybox,,arc,,,"Compresses given files or standard input into a gzip archive. By default, it will replace the input files unless told otherwise.",GNU GPLv2
halt,,1,busybox,,sys,,,,GNU GPLv2
head,,1,busybox,,txt,,,,GNU GPLv2
hexdump,,1,busybox,,dev,,,,GNU GPLv2
hexedit,,1,busybox,,dev,,,,GNU GPLv2
hostid,,1,busybox,,sys,,,,GNU GPLv2
hostname,,0,busybox,,sys,,,,GNU GPLv2
htop,,1,bundled,htop,pro,,,"An interactive process viewer designed to be an enhancement over top. Compared to top, htop supports scrolling both horizontally and vertically, a coloured UI and colour-coding, CPU and memory usage bars, searching, filtering, sorting, and killing processes.",GNU GPLv2
hwclock,,1,busybox,,sys,,,,GNU GPLv2
id,,1,busybox,,usr,,,"Prints the current user's user ID, primary group ID, and any supplementary group IDs the user is a part of.",GNU GPLv2
ifconfig,,1,busybox,,net,,,,GNU GPLv2
indent,,1,bundled,GNU Indent,dev,GNU Indent,,"A C code formatter. It can format a given C source file to a desired indentation and styling rule (GNU style by default), or convert between different C formatting conventions (for example, from GNU style to K&R style).",GNU GPLv3
init,,1,busybox,,sys,,,,GNU GPLv2
install,,1,busybox,,gen,,,,GNU GPLv2
iostat,,1,busybox,,sys,,,,GNU GPLv2
ip,,1,busybox,,net,,,,GNU GPLv2
joe,,1,bundled,Joe's Own Editor,dev,,,A WordStar-style text editor.,GNU GPLv2
kill,,1,busybox,,pro,,,"Sends a signal to the process that matches the given process ID. By default, it will try to gracefully terminate the process, but a given signal number (such as 9 for an immediate kill) can be given as well.",GNU GPLv2
killall,,1,busybox,,pro,,,"Sends a signal to all processes with a given name. By default, it will try to gracefully terminate the process, but a given signal number (such as 9 for an immediate kill) can be given as well.",GNU GPLv2
ld,,1,bundled,GNU Binutils,dev,GNU linker,,,GNU GPLv3
ld.bfd,,1,bundled,GNU Binutils,dev,GNU linker (BFD),,,GNU GPLv3
ld.gold,,1,bundled,GNU Binutils,dev,GNU gold,,,GNU GPLv3
less,,0,busybox,,txt,,,"Displays the contents of a file in the terminal, allowing it to be scrolled line-by-line. It uses vi-style keybinds.",GNU GPLv2
link,,1,busybox,,dsk,,,,GNU GPLv2
ln,,0,busybox,,dsk,,,"Creates a hard or symbolic link to a given target file or directory. Hard links are files that point to the same inode as the target file, which must be within the same file system, and hard links to directories are generally not supported. Symbolic links are files that point to the target file or directory, which can be on another file system and even target a non-existent file/directory. Deleting the target of a hard link will not delete the data so long as at least one hard link to it exists; deleting the target of a symbolic link will break the link.",GNU GPLv2
loadkmap,,1,busybox,,sys,,,,GNU GPLv2
login,,1,busybox,,usr,,,"Shows a login prompt and creates a new user session once completed. If a user was already logged in, their session will be replaced upon login's completion.",GNU GPLv2
logname,,1,busybox,,usr,,,Prints the current user's name. Functions similarly to whoami but uses utmp as its source.,GNU GPLv2
logsave,,1,bundled,e2fsprogs,gen,logsave,,,GNU GPLv2 + LGPLv2
losetup,,1,busybox,,dsk,,,,GNU GPLv2
ls,,0,busybox,,gen,,,Lists the contents of the current or a target directory.,GNU GPLv2
lsattr,,1,bundled,e2fsprogs,dsk,lsattr,,,GNU GPLv2 + LGPLv2
lsblk,,0,busybox,,dsk,,,"Lists information about all or the specified block devices. By default, it produces a table containing the device name, major number (driver associated with device), minor number (device number for the given driver), device type, whether the device is read only (RO), and its mountpoint (if mounted).",GNU GPLv2
lscpu,,1,bundled,util-linux,sys,lscpu,,,GNU GPLv2
lsof,,1,busybox,,pro,,,"Lists all files presently opened on the system, showing which processes have what open.",GNU GPLv2
lspci,,1,busybox,,sys,,,"Lists all PCI buses and connected devices. By default, it produces a table containing the PCI bus number, device number for that bus, function number, PCI class code, vendor ID, and device ID. It can optionally also display the kernel driver utilising a given device.",GNU GPLv2
lsscsi,,1,busybox,,sys,,,,GNU GPLv2
lsusb,,1,busybox,,sys,,,"Lists all USB buses and connected devices. It produces a table containing the USB bus number, device number for that bus, vendor ID, and device ID.",GNU GPLv2
lua,,1,bundled,Lua,dev,,,,MIT
lynx,,1,bundled,Lynx,net,,,A text-based web browser that allows you to access websites from your terminal. It is the oldest web browser that is still actively maintained.,GNU GPLv2
lzcat,,1,busybox,,arc,,,Decompresses a given LZMA archive to standard output. Functions like unlzma -c.,GNU GPLv2
lzma,,1,busybox,,arc,,,"Decompresses given LZMA archives, or LZMA-compressed standard input to standard output. By default, it will replace the input files unless told otherwise. Note: unlike XZ Utils' implementation of lzma, BusyBox's version cannot compress any input.",GNU GPLv2
lzop,,1,busybox,,arc,,,Compresses given files or standard input into a LZO archive.,GNU GPLv2
lzopcat,,1,busybox,,arc,,,Decompresses a given LZO archive to standard output. Functions like unlzop -c.,GNU GPLv2
make,,1,bundled,GNU Make,dev,,,"A build automation tool that executes shell commands primarily to update program compilation targets only when their prerequisites have changed, avoiding unnecessary work. It is often run in the same directory as a Makefile, which describes how a project's files relate to each other and how to update them. Whilst it is often associated with C-language projects, Make can be used for any task where maintaining some files in a project can be done with shell commands, whether it be other programming languages or documentation generation, asset pipelines or general project automation.",GNU GPLv3
man,,1,busybox,,gen,,,,GNU GPLv2
md5sum,,1,busybox,,chk,,,,GNU GPLv2
mdev,,0,busybox,,sys,,,,GNU GPLv2
mg,,1,bundled,Mg,dev,,emacs,A text editor with Emacs-style keybinds and buffers.,Unlicense
micropython,,1,bundled,MicroPython,dev,,"python, python3","A Python implementation intended for microcontrollers, embedded systems and other constrained platforms. It implements Python 3.4 syntax with select keywords and features from later versions. It is capable of installing and managing mip modules from micropython-lib.",MIT
mkdir,,0,busybox,,gen,,,Creates a directory at the given directory path or in the current directory with a given name without a path.,GNU GPLv2
mkdosfs,!/sbin/fatlabel,1,busybox,,dsk,,,Creates a FAT32 file system on the given device or image file. The device or image will be readable with Windows 95 OSR2 or newer.,GNU GPLv2
mkdosfs,/sbin/fatlabel,1,bundled,dosfstools,dsk,mkdosfs,,,GNU GPLv3
mke2fs,!/usr/sbin/e2image,1,busybox,,dsk,,,Creates an ext2 file system on the given device or image file.,GNU GPLv2
mke2fs,/usr/sbin/e2image,1,bundled,e2fsprogs,dsk,mke2fs,,,GNU GPLv2 + LGPLv2
mkfifo,,1,busybox,,gen,,,,GNU GPLv2
mkfs.ext2,!/usr/sbin/e2image,1,busybox,,dsk,,,Creates an ext2 file system on the given device or image file.,GNU GPLv2
mkfs.ext2,/usr/sbin/e2image,1,bundled,e2fsprogs,dsk,mkfs.ext2,,,GNU GPLv2 + LGPLv2
mkfs.ext3,,1,bundled,e2fsprogs,dsk,mkfs.ext3,,,GNU GPLv2 + LGPLv2
mkfs.ext4,,1,bundled,e2fsprogs,dsk,mkfs.ext4,,,GNU GPLv2 + LGPLv2
mkfs.fat,,1,bundled,dosfstools,dsk,mkfs.fat,,,GNU GPLv3
mkfs.msdos,,1,bundled,dosfstools,dsk,mkfs.msdos,,,GNU GPLv3
mkfs.vfat,!/sbin/fatlabel,1,busybox,,dsk,,,Creates a FAT32 file system on the given device or image file. The device or image will be readable with Windows 95 OSR2 or newer.,GNU GPLv2
